view,rmse_px,mean_px,max_px
0,0.48701319098472595,0.438339501619339,1.0650888681411743
1,0.4504501521587372,0.39808914065361023,0.9397205710411072
2,0.45921191573143005,0.3859913647174835,1.1551463603973389
3,0.4829310178756714,0.42772048711776733,0.9851038455963135
4,0.4484471082687378,0.40264180302619934,0.8990982174873352
5,0.40999358892440796,0.37300223112106323,0.8432426452636719
6,0.5148671269416809,0.45957133173942566,0.9955207109451294
7,0.4669543504714966,0.41642120480537415,0.8735350966453552
8,0.5073484182357788,0.4463205933570862,1.1191390752792358
9,0.555079460144043,0.49845659732818604,1.1621500253677368
10,0.4853558838367462,0.42644286155700684,1.0415431261062622
11,0.4864717721939087,0.42663466930389404,1.263829231262207
