parameter,true,estimated,absolute_error
fx,910.0,907.5736362362112,2.4263637637887996
fy,895.0,891.9848710547155,3.0151289452844594
cx,638.0,644.2002810624798,6.200281062479803
cy,362.0,363.5698858478683,1.5698858478683064
k1,-0.18,-0.19808100521168598,0.018081005211685985
k2,0.055,0.3095912270136673,0.2545912270136673
p1,0.0015,0.00016181641700502002,0.00133818358299498
p2,-0.001,-0.0023319651512041534,0.0013319651512041534
k3,-0.008,-0.6637329148926469,0.6557329148926468
global_rms,,0.480820620011155,
