radius,remaining_area,pattern_spectrum
1,20194.0,78.0
2,20116.0,0.0
3,20128.0,141.0
4,19987.0,105.0
5,19882.0,315.0
6,19567.0,132.0
7,19435.0,574.0
8,18861.0,154.0
9,18707.0,254.0
10,18453.0,88.0
11,18365.0,125.0
12,18240.0,1486.0
13,16754.0,0.0
14,16790.0,131.0
15,16659.0,121.0
16,16538.0,2404.0
17,14134.0,112.0
18,14022.0,71.0
19,13951.0,153.0
20,13798.0,164.0
21,13634.0,5438.0
22,8196.0,0.0
23,8203.0,121.0
24,8082.0,0.0
25,8138.0,85.0
26,8053.0,78.0
27,7975.0,5373.0
28,2602.0,2602.0
29,0.0,-0.0
30,0.0,-0.0
31,0.0,-0.0
32,0.0,-0.0
33,0.0,-0.0
34,0.0,-0.0
35,0.0,-0.0
